number,state,value,params
0,COMPLETE,0.9833333333333333,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""batch_size"": 512, ""lr"": 0.07475992999956503, ""max_epochs"": 2950, ""n_layers"": 2, ""patience"": 35, ""units_0"": 8192, ""units_1"": 512}"
1,COMPLETE,0.9861111111111112,"{""activation_0"": ""relu"", ""batch_size"": 32, ""lr"": 0.4439102767051397, ""max_epochs"": 650, ""n_layers"": 1, ""patience"": 11, ""units_0"": 512}"
2,COMPLETE,0.9833333333333333,"{""activation_0"": ""relu"", ""batch_size"": 64, ""lr"": 0.24290950368254952, ""max_epochs"": 2650, ""n_layers"": 1, ""patience"": 29, ""units_0"": 4096}"
3,COMPLETE,0.9722222222222222,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.07728716861851782, ""max_epochs"": 1550, ""n_layers"": 1, ""patience"": 38, ""units_0"": 256}"
4,COMPLETE,0.9722222222222222,"{""activation_0"": ""sigmoid"", ""batch_size"": 32, ""lr"": 0.08247575333443025, ""max_epochs"": 2550, ""n_layers"": 1, ""patience"": 36, ""units_0"": 512}"
5,COMPLETE,0.9888888888888889,"{""activation_0"": ""relu"", ""batch_size"": 128, ""lr"": 0.06995363653959079, ""max_epochs"": 850, ""n_layers"": 1, ""patience"": 38, ""units_0"": 8192}"
6,PRUNED,0.8416666666666667,"{""activation_0"": ""relu"", ""batch_size"": 256, ""lr"": 0.26251485534756935, ""max_epochs"": 1550, ""n_layers"": 1, ""patience"": 17, ""units_0"": 32}"
7,PRUNED,0.6194444444444445,"{""activation_0"": ""relu"", ""activation_1"": ""relu"", ""batch_size"": 32, ""lr"": 0.013897967017840065, ""max_epochs"": 50, ""n_layers"": 2, ""patience"": 14, ""units_0"": 64, ""units_1"": 128}"
8,PRUNED,0.2777777777777778,"{""activation_0"": ""sigmoid"", ""activation_1"": ""relu"", ""batch_size"": 128, ""lr"": 0.010997959032388704, ""max_epochs"": 50, ""n_layers"": 2, ""patience"": 38, ""units_0"": 2048, ""units_1"": 32}"
9,PRUNED,0.6638888888888889,"{""activation_0"": ""relu"", ""activation_1"": ""sigmoid"", ""batch_size"": 64, ""lr"": 0.35609699232128805, ""max_epochs"": 2750, ""n_layers"": 2, ""patience"": 20, ""units_0"": 10, ""units_1"": 16}"
