arch_name,config,lr,batch_size,epochs,seeds,mean_val_accuracy,std_val_accuracy
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.1,32,80,"[42, 2024]",0.9819444444444445,0.004166666666666707
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.1,32,120,"[42, 2024]",0.9819444444444445,0.004166666666666707
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.1,64,120,"[42, 2024]",0.9819444444444445,0.004166666666666707
1L_64r,"[[64, ""relu""]]",0.1,64,120,"[42, 2024]",0.9819444444444444,0.001388888888888884
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.05,32,120,"[42, 2024]",0.9805555555555556,0.005555555555555591
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.1,64,80,"[42, 2024]",0.9805555555555556,0.005555555555555591
1L_64r,"[[64, ""relu""]]",0.1,32,80,"[42, 2024]",0.9805555555555555,0.0
1L_64r,"[[64, ""relu""]]",0.1,32,120,"[42, 2024]",0.9805555555555555,0.0
1L_64r,"[[64, ""relu""]]",0.05,32,120,"[42, 2024]",0.9805555555555555,0.002777777777777768
1L_64r,"[[64, ""relu""]]",0.1,64,80,"[42, 2024]",0.9805555555555555,0.002777777777777768
1L_64r,"[[64, ""relu""]]",0.05,32,80,"[42, 2024]",0.9791666666666666,0.001388888888888884
1L_32r,"[[32, ""relu""]]",0.1,32,120,"[42, 2024]",0.9791666666666666,0.004166666666666652
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.05,32,80,"[42, 2024]",0.9791666666666666,0.004166666666666652
1L_64r,"[[64, ""relu""]]",0.05,64,120,"[42, 2024]",0.9777777777777777,0.0
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.05,32,120,"[42, 2024]",0.9777777777777777,0.0
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.1,32,80,"[42, 2024]",0.9777777777777777,0.0
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.05,64,120,"[42, 2024]",0.9777777777777777,0.002777777777777768
1L_32r,"[[32, ""relu""]]",0.1,32,80,"[42, 2024]",0.9777777777777777,0.005555555555555536
1L_64r,"[[64, ""relu""]]",0.05,64,80,"[42, 2024]",0.9763888888888889,0.001388888888888884
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.1,32,120,"[42, 2024]",0.9763888888888889,0.001388888888888884
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.1,64,120,"[42, 2024]",0.9763888888888889,0.001388888888888884
1L_32r,"[[32, ""relu""]]",0.1,64,80,"[42, 2024]",0.975,0.0
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.05,32,80,"[42, 2024]",0.975,0.002777777777777768
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.05,64,120,"[42, 2024]",0.975,0.002777777777777768
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.1,64,80,"[42, 2024]",0.975,0.002777777777777768
1L_32r,"[[32, ""relu""]]",0.05,32,120,"[42, 2024]",0.975,0.005555555555555536
1L_32r,"[[32, ""relu""]]",0.1,64,120,"[42, 2024]",0.975,0.005555555555555536
1L_32r,"[[32, ""relu""]]",0.05,32,80,"[42, 2024]",0.9736111111111111,0.001388888888888884
2L_64r_32r,"[[64, ""relu""], [32, ""relu""]]",0.05,64,80,"[42, 2024]",0.9722222222222222,0.005555555555555536
1L_32r,"[[32, ""relu""]]",0.05,64,120,"[42, 2024]",0.9694444444444444,0.002777777777777768
2L_128r_64r,"[[128, ""relu""], [64, ""relu""]]",0.05,64,80,"[42, 2024]",0.9694444444444444,0.002777777777777768
1L_32r,"[[32, ""relu""]]",0.05,64,80,"[42, 2024]",0.9625,0.001388888888888884
